,loss,iou,iou_thresholded,val_loss,val_iou,val_iou_thresholded
0,0.31795281171798706,0.3656366169452667,0.48779216408729553,0.42421984672546387,0.2901480197906494,0.5010632872581482
1,0.24460625648498535,0.4740232229232788,0.6043800711631775,0.24076583981513977,0.44260379672050476,0.5897886753082275
2,0.22287040948867798,0.5106424689292908,0.6319609880447388,0.24514639377593994,0.4425826072692871,0.5762662887573242
3,0.2018853724002838,0.5435858964920044,0.6661180853843689,0.23511290550231934,0.476930171251297,0.6022012829780579
4,0.18910157680511475,0.5675832033157349,0.6835442781448364,0.21515734493732452,0.5050580501556396,0.6254144310951233
5,0.16871309280395508,0.6032671332359314,0.7156185507774353,0.26862579584121704,0.49692678451538086,0.5807899236679077
6,0.16774411499500275,0.6112105250358582,0.7175306081771851,0.1967903971672058,0.5552294254302979,0.6443582773208618
7,0.1514112502336502,0.6378026008605957,0.7406335473060608,0.20577557384967804,0.5595179796218872,0.639045000076294
8,0.1498814821243286,0.648443341255188,0.7472613453865051,0.21473562717437744,0.5349287390708923,0.6309970617294312
9,0.1387462466955185,0.6657667756080627,0.7614459991455078,0.19945913553237915,0.5680642127990723,0.6526232361793518
10,0.13382194936275482,0.6737551689147949,0.7692720890045166,0.22935828566551208,0.5492795705795288,0.6320605278015137
11,0.12691858410835266,0.6888101696968079,0.7795288562774658,0.21160121262073517,0.5711316466331482,0.6393215656280518
12,0.11858058720827103,0.7062268853187561,0.7918540239334106,0.19433683156967163,0.5867010951042175,0.6542202234268188
13,0.11351802945137024,0.7155505418777466,0.7993481159210205,0.21176673471927643,0.5980877876281738,0.6529638767242432
14,0.11195753514766693,0.7198787927627563,0.8032245635986328,0.1685415655374527,0.632920503616333,0.6997952461242676
15,0.10238902270793915,0.7375018000602722,0.8139985203742981,0.19776053726673126,0.6043099164962769,0.6574522256851196
16,0.10670347511768341,0.7294284701347351,0.8089208006858826,0.21254907548427582,0.5801537036895752,0.653282880783081
17,0.09872738271951675,0.7468227744102478,0.8224369883537292,0.22192098200321198,0.5915135145187378,0.6475971341133118
18,0.09817855805158615,0.7459431886672974,0.8200863003730774,0.19438275694847107,0.6205861568450928,0.678249716758728
19,0.10015223920345306,0.7429029941558838,0.8188051581382751,0.22893550992012024,0.592706561088562,0.6380735635757446
20,0.08997933566570282,0.7660039067268372,0.8380654454231262,0.21264825761318207,0.6066278219223022,0.6604918241500854
21,0.0843711867928505,0.7777926325798035,0.8448742628097534,0.1856546550989151,0.6273665428161621,0.682907223701477
22,0.08141214400529861,0.7811806201934814,0.8453367352485657,0.16432984173297882,0.6531243920326233,0.7120100259780884
23,0.07658296823501587,0.797296941280365,0.8580064177513123,0.1844332367181778,0.6503762006759644,0.6930624842643738
24,0.09552287310361862,0.7589957118034363,0.8301517963409424,0.18588076531887054,0.636366605758667,0.6906375885009766
